game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,28551,,NextRound,5/6/2016, 10:46:47 AM
0,0,6,6_1_2,131210,0,6,5/6/2016, 10:48:29 AM
0,1,,_,154264,,NextRound,5/6/2016, 10:48:52 AM
0,2,2,3_4_2,170392,1,4,5/6/2016, 10:49:08 AM
0,3,,_,197862,,NextRound,5/6/2016, 10:49:36 AM
0,4,4,6_4_5,214646,0,6,5/6/2016, 10:49:53 AM
0,5,,_,228261,,NextRound,5/6/2016, 10:50:06 AM
0,6,5,1_5_7,241973,1,5,5/6/2016, 10:50:20 AM
0,7,,_,253190,,NextRound,5/6/2016, 10:50:31 AM
0,8,0,0_6_1,266252,0,0,5/6/2016, 10:50:44 AM
0,9,,_,280443,,NextRound,5/6/2016, 10:50:58 AM
0,10,1,4_0_1,287795,2,1,5/6/2016, 10:51:06 AM
0,11,,_,297202,,NextRound,5/6/2016, 10:51:15 AM
0,12,7,0_7_5,308682,1,7,5/6/2016, 10:51:27 AM
0,13,,_,317929,,NextRound,5/6/2016, 10:51:36 AM
0,14,3,5_4_3,326177,2,3,5/6/2016, 10:51:44 AM
0,15,,_,358832,,NextRound,5/6/2016, 10:52:17 AM
1,-1,,_,364999,,NextRound,5/6/2016, 10:52:23 AM
1,0,7,0_7_5,375359,1,7,5/6/2016, 10:52:33 AM
1,1,,_,386126,,NextRound,5/6/2016, 10:52:44 AM
1,2,4,6_4_5,395886,0,6,5/6/2016, 10:52:54 AM
1,3,,_,408173,,NextRound,5/6/2016, 10:53:06 AM
1,4,1,4_0_1,415645,2,1,5/6/2016, 10:53:14 AM
1,5,,_,424485,,NextRound,5/6/2016, 10:53:22 AM
1,6,5,1_5_7,431237,1,5,5/6/2016, 10:53:29 AM
1,7,,_,440348,,NextRound,5/6/2016, 10:53:38 AM
1,8,3,5_4_3,446828,2,3,5/6/2016, 10:53:45 AM
1,9,,_,457692,,NextRound,5/6/2016, 10:53:56 AM
1,10,2,3_4_2,465627,2,2,5/6/2016, 10:54:04 AM
1,11,,_,497194,,NextRound,5/6/2016, 10:54:35 AM
1,12,0,0_6_1,504425,0,0,5/6/2016, 10:54:42 AM
1,13,,_,516881,,NextRound,5/6/2016, 10:54:55 AM
1,14,6,6_1_2,525616,0,6,5/6/2016, 10:55:04 AM
1,15,,_,533464,,NextRound,5/6/2016, 10:55:11 AM
2,-1,,_,537792,,NextRound,5/6/2016, 10:55:16 AM
2,0,2,3_4_2,545816,2,2,5/6/2016, 10:55:24 AM
2,1,,_,559839,,NextRound,5/6/2016, 10:55:38 AM
2,2,3,5_4_3,567791,2,3,5/6/2016, 10:55:46 AM
2,3,,_,592582,,NextRound,5/6/2016, 10:56:11 AM
2,4,5,1_5_7,608637,1,5,5/6/2016, 10:56:27 AM
2,5,,_,628228,,NextRound,5/6/2016, 10:56:46 AM
2,6,7,0_7_5,637651,1,7,5/6/2016, 10:56:56 AM
2,7,,_,646474,,NextRound,5/6/2016, 10:57:04 AM
2,8,1,4_0_1,652075,2,1,5/6/2016, 10:57:10 AM
2,9,,_,660538,,NextRound,5/6/2016, 10:57:19 AM
2,10,4,6_4_5,673514,0,6,5/6/2016, 10:57:31 AM
2,11,,_,683322,,NextRound,5/6/2016, 10:57:41 AM
2,12,0,0_6_1,689905,0,0,5/6/2016, 10:57:48 AM
2,13,,_,700482,,NextRound,5/6/2016, 10:57:58 AM
2,14,6,6_1_2,707161,0,6,5/6/2016, 10:58:05 AM
2,15,,_,714917,,NextRound,5/6/2016, 10:58:13 AM
3,-1,,_,721160,,NextRound,5/6/2016, 10:58:19 AM
3,0,1,4_0_1,728216,2,1,5/6/2016, 10:58:26 AM
3,1,,_,734536,,NextRound,5/6/2016, 10:58:33 AM
3,2,6,6_1_2,740559,0,6,5/6/2016, 10:58:39 AM
3,3,,_,748167,,NextRound,5/6/2016, 10:58:46 AM
3,4,4,6_4_5,758207,0,6,5/6/2016, 10:58:56 AM
3,5,,_,765670,,NextRound,5/6/2016, 10:59:04 AM
3,6,2,3_4_2,772158,2,2,5/6/2016, 10:59:10 AM
3,7,,_,783261,,NextRound,5/6/2016, 10:59:21 AM
3,8,5,1_5_7,789541,1,5,5/6/2016, 10:59:28 AM
3,9,,_,796381,,NextRound,5/6/2016, 10:59:34 AM
3,10,3,5_4_3,802468,2,3,5/6/2016, 10:59:40 AM
3,11,,_,812516,,NextRound,5/6/2016, 10:59:50 AM
3,12,7,0_7_5,820019,1,7,5/6/2016, 10:59:58 AM
3,13,,_,827379,,NextRound,5/6/2016, 11:00:05 AM
3,14,0,0_6_1,833291,0,0,5/6/2016, 11:00:11 AM
3,15,,_,841675,,NextRound,5/6/2016, 11:00:20 AM
