game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem
0,0,6,6_1_2,60774,0,6
0,2,2,3_4_2,111245,2,2
0,4,4,6_4_5,187503,0,6
0,6,5,1_5_7,233288,1,5
0,8,0,0_6_1,254187,0,0
0,10,1,4_0_1,287701,2,1
0,12,7,0_7_5,324638,1,7
0,14,3,5_4_3,348519,2,3
1,0,7,0_7_5,377069,1,7
1,2,4,6_4_5,392111,1,4
1,4,1,4_0_1,410924,2,1
1,6,5,1_5_7,425074,1,5
1,8,3,5_4_3,447602,2,3
1,10,2,3_4_2,493220,2,2
1,12,0,0_6_1,514711,0,0
1,14,6,6_1_2,535169,0,6
2,0,2,3_4_2,556211,2,2
2,2,3,5_4_3,576623,2,3
2,4,5,1_5_7,596409,1,5
2,6,7,0_7_5,730589,1,7
2,8,1,4_0_1,746585,2,1
2,10,4,6_4_5,763854,1,4
2,12,0,0_6_1,782238,0,0
2,14,6,6_1_2,805369,0,6
3,0,1,4_0_1,828238,2,1
3,2,6,6_1_2,844268,0,6
3,4,4,6_4_5,865378,1,4
3,6,2,3_4_2,878636,2,2
3,8,5,1_5_7,895206,1,5
3,10,3,5_4_3,912007,2,3
3,12,7,0_7_5,935022,1,7
3,14,0,0_6_1,945958,0,0
