game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,43094,,NextRound,5/13/2016, 5:01:52 PM
0,0,,_,60277,,NextRound,5/13/2016, 5:02:10 PM
0,1,7,4_7_2,90116,1,7,5/13/2016, 5:02:39 PM
PrevRound
0,1,7,4_7_2,137171,1,7,5/13/2016, 5:03:27 PM
0,2,,_,155091,,NextRound,5/13/2016, 5:03:44 PM
0,3,6,7_6_2,183554,1,6,5/13/2016, 5:04:13 PM
0,4,,_,198859,,NextRound,5/13/2016, 5:04:28 PM
0,5,1,1_0_3,228506,0,1,5/13/2016, 5:04:58 PM
0,6,,_,252929,,NextRound,5/13/2016, 5:05:22 PM
0,7,2,7_2_3,264033,1,2,5/13/2016, 5:05:33 PM
0,8,,_,291393,,NextRound,5/13/2016, 5:06:01 PM
0,9,5,5_6_7,306000,0,5,5/13/2016, 5:06:15 PM
0,10,,_,332264,,NextRound,5/13/2016, 5:06:42 PM
0,11,3,3_6_0,338120,0,3,5/13/2016, 5:06:47 PM
0,12,,_,355664,,NextRound,5/13/2016, 5:07:05 PM
0,13,4,1_2_4,364784,2,4,5/13/2016, 5:07:14 PM
0,14,,_,392719,,NextRound,5/13/2016, 5:07:42 PM
0,15,0,5_3_0,403223,2,0,5/13/2016, 5:07:53 PM
1,-1,,_,422686,,NextRound,5/13/2016, 5:08:12 PM
1,0,,_,434286,,NextRound,5/13/2016, 5:08:24 PM
1,1,2,7_2_3,449574,1,2,5/13/2016, 5:08:39 PM
1,2,,_,470686,,NextRound,5/13/2016, 5:09:00 PM
1,3,0,5_3_0,480509,2,0,5/13/2016, 5:09:10 PM
1,4,,_,492541,,NextRound,5/13/2016, 5:09:22 PM
1,5,3,3_6_0,498149,0,3,5/13/2016, 5:09:27 PM
1,6,,_,510884,,NextRound,5/13/2016, 5:09:40 PM
1,7,7,4_7_2,522412,1,7,5/13/2016, 5:09:52 PM
1,8,,_,533204,,NextRound,5/13/2016, 5:10:03 PM
1,9,1,1_0_3,546428,0,1,5/13/2016, 5:10:16 PM
1,10,,_,553451,,NextRound,5/13/2016, 5:10:23 PM
1,11,6,7_6_2,566716,1,6,5/13/2016, 5:10:36 PM
1,12,,_,577811,,NextRound,5/13/2016, 5:10:47 PM
1,13,5,5_6_7,585203,0,5,5/13/2016, 5:10:55 PM
1,14,,_,593787,,NextRound,5/13/2016, 5:11:03 PM
1,15,4,1_2_4,602283,2,4,5/13/2016, 5:11:12 PM
2,-1,,_,610418,,NextRound,5/13/2016, 5:11:20 PM
2,0,,_,616939,,NextRound,5/13/2016, 5:11:26 PM
2,1,0,5_3_0,625787,2,0,5/13/2016, 5:11:35 PM
2,2,,_,634218,,NextRound,5/13/2016, 5:11:44 PM
2,3,7,4_7_2,643002,1,7,5/13/2016, 5:11:52 PM
2,4,,_,650586,,NextRound,5/13/2016, 5:12:00 PM
2,5,3,3_6_0,660914,0,3,5/13/2016, 5:12:10 PM
2,6,,_,667602,,NextRound,5/13/2016, 5:12:17 PM
2,7,1,1_0_3,677178,0,1,5/13/2016, 5:12:27 PM
2,8,,_,682217,,NextRound,5/13/2016, 5:12:32 PM
2,9,4,1_2_4,690817,2,4,5/13/2016, 5:12:40 PM
2,10,,_,696585,,NextRound,5/13/2016, 5:12:46 PM
2,11,2,7_2_3,705513,1,2,5/13/2016, 5:12:55 PM
2,12,,_,711737,,NextRound,5/13/2016, 5:13:01 PM
2,13,5,5_6_7,719129,0,5,5/13/2016, 5:13:08 PM
2,14,,_,725641,,NextRound,5/13/2016, 5:13:15 PM
2,15,6,7_6_2,737776,1,6,5/13/2016, 5:13:27 PM
3,-1,,_,741352,,NextRound,5/13/2016, 5:13:31 PM
3,0,,_,748416,,NextRound,5/13/2016, 5:13:38 PM
3,1,5,5_6_7,754640,0,5,5/13/2016, 5:13:44 PM
3,2,,_,762456,,NextRound,5/13/2016, 5:13:52 PM
3,3,3,3_6_0,770560,0,3,5/13/2016, 5:14:00 PM
3,4,,_,779408,,NextRound,5/13/2016, 5:14:09 PM
3,5,2,7_2_3,789136,1,2,5/13/2016, 5:14:18 PM
3,6,,_,794648,,NextRound,5/13/2016, 5:14:24 PM
3,7,1,1_0_3,804591,0,1,5/13/2016, 5:14:34 PM
3,8,,_,811672,,NextRound,5/13/2016, 5:14:41 PM
3,9,6,7_6_2,825224,1,6,5/13/2016, 5:14:55 PM
3,10,,_,831247,,NextRound,5/13/2016, 5:15:01 PM
3,11,7,4_7_2,837047,1,7,5/13/2016, 5:15:06 PM
3,12,,_,843719,,NextRound,5/13/2016, 5:15:13 PM
3,13,4,1_2_4,853854,2,4,5/13/2016, 5:15:23 PM
3,14,,_,860119,,NextRound,5/13/2016, 5:15:29 PM
3,15,0,5_3_0,870798,2,0,5/13/2016, 5:15:40 PM
