game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,48534,,NextRound,5/9/2016, 4:11:52 PM
0,0,,_,62717,,NextRound,5/9/2016, 4:12:06 PM
0,1,7,4_7_2,105997,1,7,5/9/2016, 4:12:49 PM
0,2,,_,108092,,NextRound,5/9/2016, 4:12:51 PM
0,3,6,7_6_2,149388,0,7,5/9/2016, 4:13:33 PM
0,4,,_,151947,,NextRound,5/9/2016, 4:13:35 PM
PrevRound
PrevRound
PrevRound
0,2,,_,201771,,NextRound,5/9/2016, 4:14:25 PM
0,3,6,7_6_2,214146,1,6,5/9/2016, 4:14:38 PM
0,4,,_,253977,,NextRound,5/9/2016, 4:15:17 PM
0,5,1,1_0_3,288833,0,1,5/9/2016, 4:15:52 PM
0,6,,_,292720,,NextRound,5/9/2016, 4:15:56 PM
0,7,2,7_2_3,331127,1,2,5/9/2016, 4:16:34 PM
0,8,,_,355871,,NextRound,5/9/2016, 4:16:59 PM
0,9,5,5_6_7,378279,0,5,5/9/2016, 4:17:22 PM
0,10,,_,382319,,NextRound,5/9/2016, 4:17:26 PM
PrevRound
0,10,,_,475037,,NextRound,5/9/2016, 4:18:58 PM
0,11,3,3_6_0,481597,0,3,5/9/2016, 4:19:05 PM
0,12,,_,510532,,NextRound,5/9/2016, 4:19:34 PM
0,13,4,1_2_4,527916,2,4,5/9/2016, 4:19:51 PM
0,14,,_,544003,,NextRound,5/9/2016, 4:20:07 PM
0,15,0,5_3_0,557915,2,0,5/9/2016, 4:20:21 PM
1,-1,,_,565747,,NextRound,5/9/2016, 4:20:29 PM
1,0,,_,588067,,NextRound,5/9/2016, 4:20:51 PM
1,1,2,7_2_3,617322,1,2,5/9/2016, 4:21:21 PM
1,2,,_,626721,,NextRound,5/9/2016, 4:21:30 PM
1,3,0,5_3_0,636497,2,0,5/9/2016, 4:21:40 PM
1,4,,_,644721,,NextRound,5/9/2016, 4:21:48 PM
1,5,3,3_6_0,650849,0,3,5/9/2016, 4:21:54 PM
1,6,,_,662817,,NextRound,5/9/2016, 4:22:06 PM
1,7,7,4_7_2,677040,1,7,5/9/2016, 4:22:20 PM
1,8,,_,707703,,NextRound,5/9/2016, 4:22:51 PM
1,9,1,1_0_3,721471,0,1,5/9/2016, 4:23:05 PM
1,10,,_,731720,,NextRound,5/9/2016, 4:23:15 PM
1,11,6,7_6_2,745311,1,6,5/9/2016, 4:23:29 PM
1,12,,_,756159,,NextRound,5/9/2016, 4:23:40 PM
1,13,5,5_6_7,765814,0,5,5/9/2016, 4:23:49 PM
1,14,,_,775390,,NextRound,5/9/2016, 4:23:59 PM
1,15,4,1_2_4,787214,2,4,5/9/2016, 4:24:11 PM
2,-1,,_,792102,,NextRound,5/9/2016, 4:24:15 PM
2,0,,_,800118,,NextRound,5/9/2016, 4:24:23 PM
2,1,0,5_3_0,808925,2,0,5/9/2016, 4:24:32 PM
2,2,,_,818357,,NextRound,5/9/2016, 4:24:42 PM
2,3,7,4_7_2,828293,1,7,5/9/2016, 4:24:52 PM
2,4,,_,837277,,NextRound,5/9/2016, 4:25:01 PM
2,5,3,3_6_0,847693,0,3,5/9/2016, 4:25:11 PM
2,6,,_,863844,,NextRound,5/9/2016, 4:25:27 PM
2,7,1,1_0_3,875476,0,1,5/9/2016, 4:25:39 PM
2,8,,_,883364,,NextRound,5/9/2016, 4:25:47 PM
2,9,4,1_2_4,892844,2,4,5/9/2016, 4:25:56 PM
2,10,,_,906556,,NextRound,5/9/2016, 4:26:10 PM
2,11,2,7_2_3,916163,1,2,5/9/2016, 4:26:20 PM
2,12,,_,923531,,NextRound,5/9/2016, 4:26:27 PM
2,13,5,5_6_7,932867,0,5,5/9/2016, 4:26:36 PM
2,14,,_,942003,,NextRound,5/9/2016, 4:26:45 PM
2,15,6,7_6_2,953538,1,6,5/9/2016, 4:26:57 PM
3,-1,,_,958913,,NextRound,5/9/2016, 4:27:02 PM
3,0,,_,966785,,NextRound,5/9/2016, 4:27:10 PM
3,1,5,5_6_7,976330,0,5,5/9/2016, 4:27:20 PM
3,2,,_,987433,,NextRound,5/9/2016, 4:27:31 PM
3,3,3,3_6_0,995305,0,3,5/9/2016, 4:27:39 PM
3,4,,_,1003873,,NextRound,5/9/2016, 4:27:47 PM
3,5,2,7_2_3,1011560,1,2,5/9/2016, 4:27:55 PM
3,6,,_,1024112,,NextRound,5/9/2016, 4:28:07 PM
3,7,1,1_0_3,1034624,0,1,5/9/2016, 4:28:18 PM
3,8,,_,1040800,,NextRound,5/9/2016, 4:28:24 PM
3,9,6,7_6_2,1047792,1,6,5/9/2016, 4:28:31 PM
3,10,,_,1055240,,NextRound,5/9/2016, 4:28:39 PM
3,11,7,4_7_2,1062111,1,7,5/9/2016, 4:28:45 PM
3,12,,_,1068784,,NextRound,5/9/2016, 4:28:52 PM
3,13,4,1_2_4,1080655,1,2,5/9/2016, 4:29:04 PM
3,14,,_,1088639,,NextRound,5/9/2016, 4:29:12 PM
3,15,0,5_3_0,1096767,2,0,5/9/2016, 4:29:20 PM
