game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,11346,,NextRound,5/27/2016, 12:55:27 PM
0,0,,_,57616,,NextRound,5/27/2016, 12:56:13 PM
0,1,0,5_3_0,66871,2,0,5/27/2016, 12:56:22 PM
0,2,,_,84998,,NextRound,5/27/2016, 12:56:40 PM
0,3,7,4_7_2,92271,1,7,5/27/2016, 12:56:48 PM
0,4,,_,109421,,NextRound,5/27/2016, 12:57:05 PM
0,5,3,3_6_0,121581,0,3,5/27/2016, 12:57:17 PM
0,6,,_,136291,,NextRound,5/27/2016, 12:57:32 PM
0,7,1,1_0_3,155259,0,1,5/27/2016, 12:57:51 PM
0,8,,_,166235,,NextRound,5/27/2016, 12:58:02 PM
0,9,4,1_2_4,178458,2,4,5/27/2016, 12:58:14 PM
0,10,,_,190049,,NextRound,5/27/2016, 12:58:25 PM
0,11,2,7_2_3,212792,1,2,5/27/2016, 12:58:48 PM
0,12,,_,219848,,NextRound,5/27/2016, 12:58:55 PM
0,13,5,5_6_7,230671,0,5,5/27/2016, 12:59:06 PM
0,14,,_,243759,,NextRound,5/27/2016, 12:59:19 PM
0,15,6,7_6_2,254198,1,6,5/27/2016, 12:59:29 PM
1,-1,,_,261630,,NextRound,5/27/2016, 12:59:37 PM
1,0,,_,267446,,NextRound,5/27/2016, 12:59:43 PM
1,1,5,5_6_7,275558,0,5,5/27/2016, 12:59:51 PM
1,2,,_,285453,,NextRound,5/27/2016, 1:00:01 PM
1,3,3,3_6_0,290509,0,3,5/27/2016, 1:00:06 PM
1,4,,_,302388,,NextRound,5/27/2016, 1:00:18 PM
1,5,2,7_2_3,317684,1,2,5/27/2016, 1:00:33 PM
1,6,,_,329075,,NextRound,5/27/2016, 1:00:44 PM
1,7,1,1_0_3,340611,0,1,5/27/2016, 1:00:56 PM
1,8,,_,349130,,NextRound,5/27/2016, 1:01:04 PM
1,9,6,7_6_2,359378,1,6,5/27/2016, 1:01:15 PM
1,10,,_,368809,,NextRound,5/27/2016, 1:01:24 PM
1,11,7,4_7_2,375553,1,7,5/27/2016, 1:01:31 PM
1,12,,_,385617,,NextRound,5/27/2016, 1:01:41 PM
1,13,4,1_2_4,389633,2,4,5/27/2016, 1:01:45 PM
1,14,,_,399320,,NextRound,5/27/2016, 1:01:55 PM
1,15,0,5_3_0,406736,2,0,5/27/2016, 1:02:02 PM
2,-1,,_,409480,,NextRound,5/27/2016, 1:02:05 PM
2,0,,_,417263,,NextRound,5/27/2016, 1:02:13 PM
2,1,7,4_7_2,423191,1,7,5/27/2016, 1:02:18 PM
2,2,,_,432751,,NextRound,5/27/2016, 1:02:28 PM
2,3,6,7_6_2,441414,1,6,5/27/2016, 1:02:37 PM
2,4,,_,450742,,NextRound,5/27/2016, 1:02:46 PM
2,5,1,1_0_3,460637,0,1,5/27/2016, 1:02:56 PM
2,6,,_,466885,,NextRound,5/27/2016, 1:03:02 PM
2,7,2,7_2_3,479989,1,2,5/27/2016, 1:03:15 PM
2,8,,_,486293,,NextRound,5/27/2016, 1:03:22 PM
2,9,5,5_6_7,494772,0,5,5/27/2016, 1:03:30 PM
2,10,,_,503668,,NextRound,5/27/2016, 1:03:39 PM
2,11,3,3_6_0,509667,0,3,5/27/2016, 1:03:45 PM
2,12,,_,516635,,NextRound,5/27/2016, 1:03:52 PM
2,13,4,1_2_4,519747,2,4,5/27/2016, 1:03:55 PM
2,14,,_,531131,,NextRound,5/27/2016, 1:04:06 PM
2,15,0,5_3_0,537019,2,0,5/27/2016, 1:04:12 PM
3,-1,,_,539274,,NextRound,5/27/2016, 1:04:15 PM
3,0,,_,544722,,NextRound,5/27/2016, 1:04:20 PM
3,1,2,7_2_3,555809,1,2,5/27/2016, 1:04:31 PM
3,2,,_,564617,,NextRound,5/27/2016, 1:04:40 PM
3,3,0,5_3_0,569937,2,0,5/27/2016, 1:04:45 PM
3,4,,_,578048,,NextRound,5/27/2016, 1:04:53 PM
3,5,3,3_6_0,582368,0,3,5/27/2016, 1:04:58 PM
3,6,,_,590696,,NextRound,5/27/2016, 1:05:06 PM
3,7,7,4_7_2,594713,1,7,5/27/2016, 1:05:10 PM
3,8,,_,600807,,NextRound,5/27/2016, 1:05:16 PM
3,9,1,1_0_3,604975,0,1,5/27/2016, 1:05:20 PM
3,10,,_,616391,,NextRound,5/27/2016, 1:05:32 PM
3,11,6,7_6_2,624711,1,6,5/27/2016, 1:05:40 PM
3,12,,_,629694,,NextRound,5/27/2016, 1:05:45 PM
3,13,5,5_6_7,637078,0,5,5/27/2016, 1:05:52 PM
3,14,,_,643486,,NextRound,5/27/2016, 1:05:59 PM
3,15,4,1_2_4,647237,2,4,5/27/2016, 1:06:03 PM
