game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,30181,,NextRound,5/9/2016, 3:54:11 PM
0,0,,_,61732,,NextRound,5/9/2016, 3:54:42 PM
0,1,7,4_7_2,72197,0,4,5/9/2016, 3:54:53 PM
0,2,,_,91236,,NextRound,5/9/2016, 3:55:12 PM
0,3,6,7_6_2,119468,1,6,5/9/2016, 3:55:40 PM
0,4,,_,145379,,NextRound,5/9/2016, 3:56:06 PM
0,5,1,1_0_3,164362,0,1,5/9/2016, 3:56:25 PM
0,6,,_,190179,,NextRound,5/9/2016, 3:56:51 PM
0,7,2,7_2_3,216938,2,3,5/9/2016, 3:57:18 PM
0,8,,_,231153,,NextRound,5/9/2016, 3:57:32 PM
0,9,5,5_6_7,260953,0,5,5/9/2016, 3:58:02 PM
0,10,,_,293177,,NextRound,5/9/2016, 3:58:34 PM
0,11,3,3_6_0,305135,0,3,5/9/2016, 3:58:46 PM
0,12,,_,314447,,NextRound,5/9/2016, 3:58:55 PM
0,13,4,1_2_4,332415,2,4,5/9/2016, 3:59:13 PM
0,14,,_,346871,,NextRound,5/9/2016, 3:59:28 PM
0,15,0,5_3_0,353342,0,5,5/9/2016, 3:59:34 PM
1,-1,,_,382838,,NextRound,5/9/2016, 4:00:03 PM
1,0,,_,390230,,NextRound,5/9/2016, 4:00:11 PM
1,1,2,7_2_3,407013,2,3,5/9/2016, 4:00:28 PM
1,2,,_,420053,,NextRound,5/9/2016, 4:00:41 PM
1,3,0,5_3_0,429357,0,5,5/9/2016, 4:00:50 PM
1,4,,_,450924,,NextRound,5/9/2016, 4:01:12 PM
1,5,3,3_6_0,460332,0,3,5/9/2016, 4:01:21 PM
1,6,,_,477668,,NextRound,5/9/2016, 4:01:38 PM
1,7,7,4_7_2,496107,1,7,5/9/2016, 4:01:57 PM
1,8,,_,509779,,NextRound,5/9/2016, 4:02:10 PM
1,9,1,1_0_3,515923,0,1,5/9/2016, 4:02:17 PM
1,10,,_,526619,,NextRound,5/9/2016, 4:02:27 PM
1,11,6,7_6_2,554667,0,7,5/9/2016, 4:02:55 PM
1,12,,_,581850,,NextRound,5/9/2016, 4:03:22 PM
1,13,5,5_6_7,600185,0,5,5/9/2016, 4:03:41 PM
1,14,,_,613273,,NextRound,5/9/2016, 4:03:54 PM
1,15,4,1_2_4,624481,2,4,5/9/2016, 4:04:05 PM
2,-1,,_,633088,,NextRound,5/9/2016, 4:04:14 PM
2,0,,_,644720,,NextRound,5/9/2016, 4:04:25 PM
2,1,0,5_3_0,657312,0,5,5/9/2016, 4:04:38 PM
2,2,,_,663728,,NextRound,5/9/2016, 4:04:44 PM
2,3,7,4_7_2,671896,1,7,5/9/2016, 4:04:53 PM
2,4,,_,689647,,NextRound,5/9/2016, 4:05:10 PM
2,5,3,3_6_0,699687,0,3,5/9/2016, 4:05:20 PM
2,6,,_,710759,,NextRound,5/9/2016, 4:05:31 PM
2,7,1,1_0_3,716575,0,1,5/9/2016, 4:05:37 PM
2,8,,_,725566,,NextRound,5/9/2016, 4:05:46 PM
2,9,4,1_2_4,739838,2,4,5/9/2016, 4:06:00 PM
2,10,,_,749854,,NextRound,5/9/2016, 4:06:10 PM
2,11,2,7_2_3,756542,1,2,5/9/2016, 4:06:17 PM
2,12,,_,775981,,NextRound,5/9/2016, 4:06:37 PM
2,13,5,5_6_7,782805,0,5,5/9/2016, 4:06:43 PM
2,14,,_,791581,,NextRound,5/9/2016, 4:06:52 PM
2,15,6,7_6_2,809484,0,7,5/9/2016, 4:07:10 PM
3,-1,,_,816820,,NextRound,5/9/2016, 4:07:17 PM
3,0,,_,830493,,NextRound,5/9/2016, 4:07:31 PM
3,1,5,5_6_7,838844,0,5,5/9/2016, 4:07:39 PM
3,2,,_,857332,,NextRound,5/9/2016, 4:07:58 PM
3,3,3,3_6_0,864788,0,3,5/9/2016, 4:08:05 PM
3,4,,_,870827,,NextRound,5/9/2016, 4:08:11 PM
3,5,2,7_2_3,878139,1,2,5/9/2016, 4:08:19 PM
3,6,,_,887579,,NextRound,5/9/2016, 4:08:28 PM
3,7,1,1_0_3,892875,0,1,5/9/2016, 4:08:34 PM
3,8,,_,899483,,NextRound,5/9/2016, 4:08:40 PM
3,9,6,7_6_2,911946,0,7,5/9/2016, 4:08:53 PM
3,10,,_,919562,,NextRound,5/9/2016, 4:09:00 PM
3,11,7,4_7_2,929866,1,7,5/9/2016, 4:09:10 PM
3,12,,_,937706,,NextRound,5/9/2016, 4:09:18 PM
3,13,4,1_2_4,950714,2,4,5/9/2016, 4:09:31 PM
3,14,,_,963697,,NextRound,5/9/2016, 4:09:44 PM
3,15,0,5_3_0,975081,2,0,5/9/2016, 4:09:56 PM
