game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,13842,,NextRound,5/25/2016, 12:52:55 PM
0,0,6,6_1_2,46218,0,6,5/25/2016, 12:53:27 PM
0,1,,_,62073,,NextRound,5/25/2016, 12:53:43 PM
0,2,2,3_4_2,86343,2,2,5/25/2016, 12:54:08 PM
0,3,,_,103191,,NextRound,5/25/2016, 12:54:24 PM
0,4,4,6_4_5,113567,1,4,5/25/2016, 12:54:35 PM
0,5,,_,123967,,NextRound,5/25/2016, 12:54:45 PM
0,6,5,1_5_7,146550,1,5,5/25/2016, 12:55:08 PM
0,7,,_,173796,,NextRound,5/25/2016, 12:55:35 PM
0,8,0,0_6_1,182388,0,0,5/25/2016, 12:55:44 PM
0,9,,_,191388,,NextRound,5/25/2016, 12:55:53 PM
0,10,1,4_0_1,205899,2,1,5/25/2016, 12:56:07 PM
0,11,,_,225075,,NextRound,5/25/2016, 12:56:26 PM
0,12,7,0_7_5,234283,1,7,5/25/2016, 12:56:36 PM
0,13,,_,253193,,NextRound,5/25/2016, 12:56:54 PM
0,14,3,5_4_3,261097,1,4,5/25/2016, 12:57:02 PM
0,15,,_,278040,,NextRound,5/25/2016, 12:57:19 PM
1,-1,,_,281688,,NextRound,5/25/2016, 12:57:23 PM
1,0,7,0_7_5,291616,1,7,5/25/2016, 12:57:33 PM
1,1,,_,305119,,NextRound,5/25/2016, 12:57:46 PM
1,2,4,6_4_5,316183,1,4,5/25/2016, 12:57:57 PM
1,3,,_,325423,,NextRound,5/25/2016, 12:58:07 PM
1,4,1,4_0_1,339374,2,1,5/25/2016, 12:58:21 PM
1,5,,_,359085,,NextRound,5/25/2016, 12:58:40 PM
1,6,5,1_5_7,372157,1,5,5/25/2016, 12:58:53 PM
1,7,,_,386828,,NextRound,5/25/2016, 12:59:08 PM
1,8,3,5_4_3,392828,1,4,5/25/2016, 12:59:14 PM
1,9,,_,405524,,NextRound,5/25/2016, 12:59:27 PM
1,10,2,3_4_2,421427,2,2,5/25/2016, 12:59:43 PM
1,11,,_,431539,,NextRound,5/25/2016, 12:59:53 PM
1,12,0,0_6_1,438658,0,0,5/25/2016, 1:00:00 PM
1,13,,_,445570,,NextRound,5/25/2016, 1:00:07 PM
1,14,6,6_1_2,454930,0,6,5/25/2016, 1:00:16 PM
1,15,,_,463761,,NextRound,5/25/2016, 1:00:25 PM
2,-1,,_,466354,,NextRound,5/25/2016, 1:00:28 PM
2,0,2,3_4_2,483089,2,2,5/25/2016, 1:00:44 PM
2,1,,_,492496,,NextRound,5/25/2016, 1:00:54 PM
2,2,3,5_4_3,498680,1,4,5/25/2016, 1:01:00 PM
2,3,,_,512256,,NextRound,5/25/2016, 1:01:14 PM
2,4,5,1_5_7,527743,1,5,5/25/2016, 1:01:29 PM
2,5,,_,542174,,NextRound,5/25/2016, 1:01:43 PM
2,6,7,0_7_5,582477,1,7,5/25/2016, 1:02:24 PM
2,7,,_,595804,,NextRound,5/25/2016, 1:02:37 PM
2,8,1,4_0_1,610908,2,1,5/25/2016, 1:02:52 PM
2,9,,_,627299,,NextRound,5/25/2016, 1:03:09 PM
2,10,4,6_4_5,635003,1,4,5/25/2016, 1:03:16 PM
2,11,,_,642908,,NextRound,5/25/2016, 1:03:24 PM
2,12,0,0_6_1,648290,0,0,5/25/2016, 1:03:30 PM
2,13,,_,655266,,NextRound,5/25/2016, 1:03:37 PM
2,14,6,6_1_2,664465,0,6,5/25/2016, 1:03:46 PM
2,15,,_,672457,,NextRound,5/25/2016, 1:03:54 PM
3,-1,,_,675098,,NextRound,5/25/2016, 1:03:56 PM
3,0,1,4_0_1,688656,2,1,5/25/2016, 1:04:10 PM
3,1,,_,700311,,NextRound,5/25/2016, 1:04:22 PM
3,2,6,6_1_2,712719,0,6,5/25/2016, 1:04:34 PM
3,3,,_,720815,,NextRound,5/25/2016, 1:04:42 PM
3,4,4,6_4_5,726438,1,4,5/25/2016, 1:04:48 PM
3,5,,_,734375,,NextRound,5/25/2016, 1:04:56 PM
3,6,2,3_4_2,744534,2,2,5/25/2016, 1:05:06 PM
3,7,,_,752349,,NextRound,5/25/2016, 1:05:14 PM
3,8,5,1_5_7,766037,1,5,5/25/2016, 1:05:27 PM
3,9,,_,778132,,NextRound,5/25/2016, 1:05:39 PM
3,10,3,5_4_3,782428,1,4,5/25/2016, 1:05:44 PM
3,11,,_,794820,,NextRound,5/25/2016, 1:05:56 PM
3,12,7,0_7_5,801515,1,7,5/25/2016, 1:06:03 PM
3,13,,_,813171,,NextRound,5/25/2016, 1:06:14 PM
3,14,0,0_6_1,817659,0,0,5/25/2016, 1:06:19 PM
3,15,,_,825867,,NextRound,5/25/2016, 1:06:27 PM
